FilesetId,Date Tested,Processed,Validated,Errors,
APBWYI,2/5/2021,OK,OK,,
BO1CAP,2/3/2021,OK,OK,,
BULBOB,12/23/2020,OK,OK,,
BULCBV,12/29/2020,OK,OK,,
CATBSS,2/20/2021,OK,OK,,
CHYCTC,2/18/2021,OK,OK,There is an invalid verse number at LUK 23:55 It is 55-24:10a in USX file.,
CKJWBT,3/8/2021,OK,OK,,
CRHIBT,2/5/2021,OK,-,it has non-standard status=“unknown” attribute on many elements.,
CRKWCV,2/20/2021,OK,OK,,
CRTBSA,2/18/2021,OK,OK,,
DEDWYI,3/8/2021,OK,OK,,
DIQWYI,2/20/2021,OK,OK,,
DSOWFW,3/8/2021,OK,OK,,
DUDWYI,2/5/2021,OK,OK,,
ENGTLV,2/2/2021,OK,OK,,
ENGWEB,12/29/2020,OK,OK,,
ERV-ARB (not FCBH),12/29/2020,OK,OK,Retest with FCBH fileset,
ERV-ENG (not FCBH),12/29/2020,OK,OK,Retest with FCBH fileset,
GNAWBT,3/8/2021,OK,OK,,
GNWNTM,3/9/2021,OK,OK,,
GRIBSP,3/8/2021,OK,-,"069ESG has 7:1-7 followed by 7:1-30, check with Kenneth 3/9 by email.",
HADLAI,2/20/2021,OK,OK,,
HOCIEM,12/29/2020,OK,OK,,
HYWWAV,12/29/2020,OK,OK,,
INDSHL,2/5/2021,OK,-,1KI:7:51 Allah inside char style inside para s style,
JUYWFW,3/14/2021,OK,OK,,
KDTWYI,12/29/2020,OK,OK,,
KFBMUJ,2/20/2021,OK,OK,,
KFBMUJ,3/14/2021,OK,OK,,
KFCWFW,3/14/2021,OK,OK,,
KFFWFW,3/14/2021,OK,OK,,
KIUBSK,2/3/2021,OK,OK,,
KXVWFW,3/20/2021,OK,OK,,
KQEBLI,12/23/2020,OK,OK,,
MENBSL,3/8/2021,OK,OK,,
PESNMV (not FCBH),12/29/2020,OK,OK,Retest with FCBH fileset,
PLUWBT,2/3/2021,OK,-,Verse validation problem at LUK 6:12,
RIFNVS,12/23/2020,OK,-,MAT 27:6 verse validation problem,
SDMGFA,2/23/2021,OK,-,HTML validation is failing because verse eid elements are on a line by themselves.,
SDMSGV,3/14/2021,OK,OK,,
SHIRDT,3/9/2021,OK,OK,Has 2 duplicate verses,
TUKTTV,2/20/2021,OK,OK,,
TXQWYI,12/23/2020,OK,OK,,
UKRLPF,12/23/2020,OK,OK,,
VIELHG,2/23/2021,OK,OK,,
